Age,Gender,Faculty,Housing_Arrangement,Main_Income_Source,Monthly_Income,Organised_Money_Management,More_of_a_Saver_Than_a_Spender,Prefer_to_Buy_on_Credit,Savings_for_Rainy_Day,Prefer_to_Live_for_Today,Compare_Prices_Before_Buying,Read_Agreement_Carefully,Avoid_Overspending,Money_Management_Difficulty,Monthly_Savings,Increase_Financial_Knowledge,Complaint_for_Unsuitable_Product
21,Male,Other,Live with parents/relatives,Pocket money from parents,RM 100 - RM 500,1,1,4,1,1,Yes,Yes,Sometimes,Always,Sometimes,Sometimes,Sometimes
21,Female,FSDK,Off-campus rent (sharing house/flat),Scholarship,RM 100 - RM 500,2,3,4,3,4,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
18,Female,FSDK,On-campus (student accommodation),Pocket money from parents,RM 100 - RM 500,3,3,3,3,3,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Sometimes
21,Male,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Below RM 99,2,3,5,1,3,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Sometimes
21,Male,FSDK,Live with parents/relatives,Other,RM 100 - RM 500,3,3,5,3,3,Yes,Yes,Always,Sometimes,Sometimes,Never,Always
18,Male,FSDK,On-campus (student accommodation),Pocket money from parents,Above RM 600,2,1,3,1,3,Yes,Yes,Always,Sometimes,Always,Sometimes,Sometimes
21,Female,FSDK,Live with parents/relatives,Pocket money from parents,Above RM 600,1,1,5,1,3,Yes,Yes,Sometimes,Always,Always,Always,Never
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,4,4,4,4,3,Yes,Yes,Always,Always,Sometimes,Sometimes,Sometimes
21,Male,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Below RM 99,1,1,1,3,3,Yes,Yes,Sometimes,Always,Never,Sometimes,Always
21,Female,FBKT,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,2,3,5,1,4,Yes,Yes,Always,Sometimes,Always,Sometimes,Sometimes
21,Male,FBI,Off-campus rent (sharing house/flat),Other,Above RM 600,1,1,4,1,5,Yes,Yes,Always,Always,Always,Always,Sometimes
21,Female,FIAT,Off-campus rent (sharing house/flat),Scholarship,RM 100 - RM 500,5,4,3,3,2,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
21,Male,FSB,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,4,4,1,2,4,Yes,Yes,Sometimes,Sometimes,Always,Always,Always
